2019-07-11 12:59
Device: cuda:0

Params:

MAX_EPISODES :	 2500
MAX_STEP :	 1000000
EPISODE_RANGE_DATA :	 100
BUFFER_SIZE :	 100000
BATCH_SIZE :	 32
GAMMA :	 0.99
TAU :	 0.001
LR_ACTOR :	 0.001
LR_CRITIC :	 0.001
WEIGHT_DECAY :	 0
ACTOR_UNITS :	 [64, 64]
CRITIC_UNITS :	 [64, 64]
ADD_OU_NOISE :	 True
MU :	 0.0
THETA :	 0.15
SIGMA :	 0.3
SIGMA_MIN :	 0.025
SIGMA_DECAY :	 0.975
POLICY_DELAY :	 1
DROP_OUT_PROB :	 0.1
TRAINING_MODE :	 True
INITIAL_RANDOM_ROLLOUTS :	 False
PATH_LOGS :	 logs
PATH_FIGURE :	 figures
PATH_GRAPHS :	 graphs
PATH_WEIGHTS :	 weights
TWIN_DELAY :	 False
PARAMS_EVAL :	 ['BATCH_SIZE', 'ACTOR_UNITS', 'CRITIC_UNITS']
STATISTICS :	 {'avg': True, 'min': False, 'max': False, 'med': True, 'cur': False}


Logs:

Creating agents for: 3DBallLearning
   -> Input: 8
   -> Output: 2
Number of agents: 1
States have the form of: [-0.04766776 -0.08700117 -0.54295158  4.          0.11863136  0.
  0.          0.        ]
Instantiating agent for: 3DBallLearning
============================================================
Starting training process:
============================================================

Episode: 126 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.54 	Med. Score: 0.50 	Current Score: 1.10
Episode: 127 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.55 	Med. Score: 0.50 	Current Score: 1.10
Episode: 128 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.56 	Med. Score: 0.50 	Current Score: 0.90
Episode: 129 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.55 	Med. Score: 0.50 	Current Score: 0.50
Episode: 130 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.56 	Med. Score: 0.50 	Current Score: 1.00
Episode: 131 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.56 	Med. Score: 0.50 	Current Score: 1.10
Episode: 132 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.56 	Med. Score: 0.50 	Current Score: 0.70
Episode: 133 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.57 	Med. Score: 0.50 	Current Score: 1.30
Episode: 134 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.58 	Med. Score: 0.50 	Current Score: 1.20
Episode: 135 3DBallLearning; Agents: 1; 	Min. Score: 0.30 	Max. Score: 2.50  	Avg. Score: 0.58 	Med. Score: 0.50 	Current Score: 0.30
